n,basis,M_empirical,M_theoretical,rel_error
3,Cycle,1.866025403784439,1.8660254037844388,1.1899334514669966e-16
3,Phase,1.866025403784439,1.8660254037844388,1.1899334514669966e-16
4,Cycle,1.000000000000003,1.0000000000000002,2.8865798640254062e-15
4,Phase,1.0000000000000004,1.0000000000000002,2.2204460492503126e-16
4,Walsh,1.0,1.0,0.0
4,Paley,1.0,1.0,0.0
5,Cycle,1.9510565162951536,1.9510565162951536,0.0
5,Phase,1.9510565162951536,1.9510565162951536,0.0
6,Cycle,1.8660254037844397,1.8660254037844388,4.759733805867986e-16
6,Phase,1.8660254037844397,1.8660254037844388,4.759733805867986e-16
7,Cycle,1.974927912181826,1.9749279121818237,1.1243175184036214e-15
7,Phase,1.974927912181826,1.9749279121818237,1.1243175184036214e-15
8,Cycle,2.0,2.0,0.0
8,Phase,1.7071067811865495,1.7071067811865475,1.1706364630197685e-15
8,Walsh,0.9999999999999998,1.0,2.220446049250313e-16
8,Paley,0.9999999999999998,1.0,2.220446049250313e-16
9,Cycle,1.984807753012208,1.9848077530122081,1.11872096724758e-16
9,Phase,1.984807753012209,1.9848077530122081,4.47488386899032e-16
10,Cycle,1.9510565162951534,1.9510565162951536,1.1380736696785704e-16
10,Phase,1.951056516295155,1.9510565162951536,6.828442018071423e-16
11,Cycle,1.9898214418809332,1.9898214418809326,3.3477064863941407e-16
11,Phase,1.989821441880936,1.9898214418809326,1.6738532431970702e-15
12,Cycle,1.8660254037844524,1.8660254037844388,7.258594053948679e-15
12,Phase,1.8660254037844437,1.8660254037844388,2.6178535932273923e-15
12,Paley,1.0000000000000002,1.0,2.220446049250313e-16
13,Cycle,1.992708874098054,1.992708874098054,0.0
13,Phase,1.9927088740980563,1.992708874098054,1.1142852215456401e-15
14,Cycle,1.9749279121818268,1.9749279121818237,1.5740445257650699e-15
14,Phase,1.974927912181828,1.9749279121818237,2.1362032849668805e-15
15,Cycle,1.994521895368274,1.994521895368273,4.453089343178807e-16
15,Phase,1.9945218953682753,1.994521895368273,1.1132723357947018e-15
16,Cycle,2.0000000000000004,2.0,2.220446049250313e-16
16,Phase,1.9238795325112936,1.9238795325112867,3.577865784398113e-15
16,Walsh,1.0,1.0,0.0
17,Cycle,1.9957341762950351,1.9957341762950345,3.337788282063361e-16
17,Phase,1.9957341762950378,1.9957341762950345,1.6688941410316804e-15
18,Cycle,1.9848077530122101,1.9848077530122081,1.0068488705228219e-15
18,Phase,1.984807753012219,1.9848077530122081,5.4817327395131414e-15
19,Cycle,1.9965844930066716,1.9965844930066698,8.89697804236285e-16
19,Phase,1.996584493006675,1.9965844930066698,2.5578811871793192e-15
20,Cycle,1.951056516295163,1.9510565162951536,4.779909412649996e-15
20,Phase,1.9510565162951607,1.9510565162951536,3.641835742971425e-15
20,Paley,0.9999999999999999,1.0,1.1102230246251565e-16
21,Cycle,1.9972037971811807,1.99720379718118,3.3353322065342757e-16
21,Phase,1.9972037971811822,1.99720379718118,1.1117774021780919e-15
22,Cycle,1.9898214418809375,1.9898214418809326,2.4549847566890362e-15
22,Phase,1.9898214418809417,1.9898214418809326,4.575198864738658e-15
23,Cycle,1.9976687691905424,1.9976687691905393,1.5561260790046096e-15
23,Phase,1.9976687691905477,1.9976687691905393,4.223770785869655e-15
24,Cycle,2.0,2.0,0.0
24,Phase,1.9659258262890793,1.9659258262890682,5.647329160535227e-15
24,Paley,1.0000000000000002,1.0,2.220446049250313e-16
25,Cycle,1.9980267284282724,1.9980267284282718,3.333958476617085e-16
25,Phase,1.9980267284282789,1.9980267284282718,3.556222375058224e-15
26,Cycle,1.9927088740980565,1.992708874098054,1.225713743700204e-15
26,Phase,1.9927088740980685,1.992708874098054,7.24285394004666e-15
27,Cycle,1.9983081582712692,1.9983081582712683,4.444651922296541e-16
27,Phase,1.9983081582712805,1.9983081582712683,6.111396393157744e-15
28,Cycle,1.9749279121818342,1.9749279121818237,5.284292336497021e-15
28,Phase,1.974927912181845,1.9749279121818237,1.0793448176674765e-14
29,Cycle,1.998533413851123,1.998533413851124,4.444150963624009e-16
29,Phase,1.9985334138511393,1.998533413851124,7.666160412251414e-15
30,Cycle,1.9945218953682782,1.994521895368273,2.560526372327814e-15
30,Phase,1.994521895368299,1.994521895368273,1.302528632879801e-14
31,Cycle,1.998716507171055,1.9987165071710529,1.1109359637966327e-15
31,Phase,1.9987165071710642,1.9987165071710529,5.665773415362827e-15
32,Cycle,2.0,2.0,0.0
32,Phase,1.9807852804032453,1.9807852804032307,7.398552518559075e-15
32,Walsh,0.9999999999999998,1.0,2.220446049250313e-16
32,Paley,0.9999999999999998,1.0,2.220446049250313e-16
33,Cycle,1.9988673391830092,1.9988673391830083,4.44340853587186e-16
33,Phase,1.998867339183017,1.9988673391830083,4.332323322475064e-15
34,Cycle,1.9957341762950358,1.9957341762950345,6.675576564126722e-16
34,Phase,1.9957341762950465,1.9957341762950345,6.0080189077140495e-15
35,Cycle,1.9989930665413156,1.9989930665413145,5.553911332699516e-16
35,Phase,1.9989930665413271,1.9989930665413145,6.331458919277449e-15
36,Cycle,1.9848077530122135,1.9848077530122081,2.6849303213941917e-15
36,Phase,1.984807753012229,1.9848077530122081,1.0515977092127251e-14
37,Cycle,1.9990989662046814,1.9990989662046816,1.110723424296428e-16
37,Phase,1.9990989662047007,1.9990989662046816,9.55222144894928e-15
38,Cycle,1.9965844930066732,1.9965844930066698,1.6681833829430343e-15
38,Phase,1.9965844930066914,1.9965844930066698,1.0787585876364956e-14
39,Cycle,1.9991889981715711,1.9991889981715696,7.774713825940276e-16
39,Phase,1.9991889981715836,1.9991889981715696,6.997242443346248e-15
40,Cycle,1.9999999999999998,2.0,1.1102230246251565e-16
40,Phase,1.9876883405951569,1.9876883405951378,9.607057421202747e-15
41,Cycle,1.9992661810508106,1.99926618105081,2.221261050975465e-16
41,Phase,1.9992661810508212,1.99926618105081,5.553152627438662e-15
42,Cycle,1.9972037971811816,1.99720379718118,7.782441815246643e-16
42,Phase,1.9972037971811978,1.99720379718118,8.894219217424735e-15
43,Cycle,1.9993328483702408,1.9993328483702395,6.663560950525015e-16
43,Phase,1.999332848370262,1.9993328483702395,1.1216994266717108e-14
44,Cycle,1.989821441880945,1.9898214418809326,6.249052107935729e-15
44,Phase,1.9898214418809606,1.9898214418809326,1.406036724285539e-14
44,Paley,1.0,1.0,0.0
45,Cycle,1.9993908270190963,1.9993908270190959,2.2211225731797415e-16
45,Phase,1.9993908270191116,1.9993908270190959,7.884985134788083e-15
46,Cycle,1.9976687691905448,1.9976687691905393,2.7787965696510887e-15
46,Phase,1.997668769190581,1.9976687691905393,2.0896550203776186e-14
47,Cycle,1.9994415637302567,1.9994415637302547,9.994797950468568e-16
47,Phase,1.9994415637302831,1.9994415637302547,1.421482375177752e-14
48,Cycle,2.0,2.0,0.0
48,Phase,1.9914448613738305,1.9914448613738103,1.0146431588489262e-14
48,Paley,1.0000000000000002,1.0,2.220446049250313e-16
49,Cycle,1.999486216200688,1.999486216200688,0.0
49,Phase,1.9994862162007243,1.999486216200688,1.8212336205497573e-14
50,Cycle,1.9980267284282796,1.9980267284282718,3.889618222719932e-15
50,Phase,1.9980267284283033,1.9980267284282718,1.5780736789320868e-14
51,Cycle,1.999525719713367,1.9995257197133658,5.55243182760514e-16
51,Phase,1.9995257197134022,1.9995257197133658,1.8211976394544856e-14
52,Cycle,1.992708874098061,1.992708874098054,3.454284186791484e-15
52,Phase,1.9927088740980887,1.992708874098054,1.7382849456111984e-14
53,Cycle,1.9995608365087958,1.9995608365087945,6.662801177264047e-16
53,Phase,1.9995608365088207,1.9995608365087945,1.3103508981952626e-14
54,Cycle,1.9983081582712707,1.9983081582712683,1.2222792786315487e-15
54,Phase,1.9983081582712876,1.9983081582712683,9.667117930994976e-15
55,Cycle,1.9995921928281906,1.999592192828189,7.773146144748777e-16
55,Phase,1.9995921928282172,1.999592192828189,1.4102708005472782e-14
56,Cycle,1.9999999999999996,2.0,2.220446049250313e-16
56,Phase,1.9937122098932658,1.9937122098932427,1.1582734357352306e-14
57,Cycle,1.9996203070249556,1.9996203070249516,1.9987809058595897e-15
57,Phase,1.9996203070249725,1.9996203070249516,1.0438078063933412e-14
58,Cycle,1.9985334138511284,1.998533413851124,2.2220754818120045e-15
58,Phase,1.9985334138511561,1.998533413851124,1.6110047243137033e-14
59,Cycle,1.9996456111234544,1.9996456111234524,9.993778063516606e-16
59,Phase,1.9996456111234957,1.9996456111234524,2.165318580428598e-14
60,Cycle,1.9945218953682844,1.994521895368273,5.677688912552979e-15
60,Phase,1.9945218953683104,1.994521895368273,1.870297524135099e-14
60,Paley,0.9999999999999998,1.0,2.220446049250313e-16
61,Cycle,1.9996684675143135,1.999668467514313,2.2208141852738596e-16
61,Phase,1.9996684675143448,1.999668467514313,1.5878821424708094e-14
62,Cycle,1.9987165071710564,1.9987165071710529,1.7774975420746125e-15
62,Phase,1.998716507171087,1.9987165071710529,1.7108413842468145e-14
63,Cycle,1.9996891820008182,1.9996891820008165,8.883164720743711e-16
63,Phase,1.9996891820008407,1.9996891820008165,1.2103311932013307e-14
64,Cycle,2.0000000000000004,2.0,2.220446049250313e-16
64,Phase,1.9951847266722256,1.995184726672197,1.4356442114061513e-14
64,Walsh,1.0,1.0,0.0
65,Cycle,1.9997080140801946,1.999708014080193,7.77269593126153e-16
65,Phase,1.999708014080225,1.999708014080193,1.5989545915738005e-14
66,Cycle,1.9988673391830134,1.9988673391830083,2.5549599081263197e-15
66,Phase,1.9988673391830356,1.9988673391830083,1.3663481247805971e-14
67,Cycle,1.999725185109818,1.999725185109816,9.99338038649315e-16
67,Phase,1.9997251851098616,1.999725185109816,2.287373732908432e-14
68,Cycle,1.9957341762950456,1.9957341762950345,5.562980470105601e-15
68,Phase,1.9957341762950815,1.9957341762950345,2.358703719324775e-14
68,Paley,1.0,1.0,0.0
69,Cycle,1.9997408848413498,1.999740884841349,4.441467524281725e-16
69,Phase,1.999740884841373,1.999740884841349,1.1991962315560658e-14
70,Cycle,1.9989930665413178,1.9989930665413145,1.666173399809855e-15
70,Phase,1.998993066541357,1.9989930665413145,2.1327019517566143e-14
71,Cycle,1.9997552766852444,1.9997552766852433,5.551794449896096e-16
71,Phase,1.9997552766852789,1.9997552766852433,1.7765742239667507e-14
72,Cycle,2.0,2.0,0.0
72,Phase,1.996194698091801,1.9961946980917458,2.769725151518847e-14
72,Paley,1.0000000000000002,1.0,2.220446049250313e-16
73,Cycle,1.999768501979893,1.9997685019798908,1.1103515467175018e-15
73,Phase,1.9997685019799516,1.9997685019798908,3.0423632380059547e-14
74,Cycle,1.9990989662046876,1.9990989662046816,2.9989532456003556e-15
74,Phase,1.9990989662047445,1.9990989662046816,3.143347290758891e-14
75,Cycle,1.9997806834748468,1.9997806834748455,6.662068698629602e-16
75,Phase,1.9997806834749012,1.9997806834748455,2.7869654055933833e-14
76,Cycle,1.9965844930066776,1.9965844930066698,3.892427893533747e-15
76,Phase,1.9965844930067134,1.9965844930066698,2.179759620378898e-14
77,Cycle,1.9997919281892098,1.9997919281892067,1.5544739555806035e-15
77,Phase,1.9997919281892524,1.9997919281892067,2.287297391782888e-14
78,Cycle,1.999188998171572,1.9991889981715696,1.2217407440763291e-15
78,Phase,1.999188998171638,1.9991889981715696,3.420874083413722e-14
79,Cycle,1.999802329770068,1.9998023297700656,1.2213660409407457e-15
79,Phase,1.9998023297701133,1.9998023297700656,2.3872154436569118e-14
80,Cycle,2.0,2.0,0.0
80,Phase,1.9969173337331734,1.9969173337331279,2.2794706240811613e-14
80,Paley,0.9999999999999999,1.0,1.1102230246251565e-16
81,Cycle,1.9998119704485031,1.9998119704485013,8.882619294462287e-16
81,Phase,1.9998119704485553,1.9998119704485013,2.69809561069292e-14
82,Cycle,1.999266181050814,1.99926618105081,1.9991349458779183e-15
82,Phase,1.999266181050868,1.99926618105081,2.8987456715229817e-14
83,Cycle,1.9998209226697394,1.9998209226697377,8.882579531315409e-16
83,Phase,1.9998209226697752,1.9998209226697377,1.8764449259903798e-14
84,Cycle,1.997203797181188,1.99720379718118,4.002398647841131e-15
84,Phase,1.997203797181244,1.99720379718118,3.2019189182729045e-14
84,Paley,1.0,1.0,0.0
85,Cycle,1.9998292504580548,1.9998292504580528,9.992860359790997e-16
85,Phase,1.999829250458101,1.9998292504580528,2.4093896645273848e-14
86,Cycle,1.9993328483702417,1.9993328483702395,1.1105934917541692e-15
86,Phase,1.9993328483702841,1.9993328483702395,2.23229291842588e-14
87,Cycle,1.9998370105646424,1.999837010564641,6.661881055866801e-16
87,Phase,1.9998370105647119,1.999837010564641,3.541900094702516e-14
88,Cycle,2.0,2.0,0.0
88,Phase,1.9974521146102975,1.9974521146102533,2.2121619866067757e-14
89,Cycle,1.9998442534370007,1.9998442534369985,1.1103094880684739e-15
89,Phase,1.9998442534370577,1.9998442534369985,2.964526333142825e-14
90,Cycle,1.9993908270191008,1.9993908270190959,2.443234830497716e-15
90,Phase,1.9993908270191385,1.9993908270190959,2.1322776702525522e-14
91,Cycle,1.9998510240408507,1.9998510240408496,5.551528645278124e-16
91,Phase,1.9998510240409013,1.9998510240408496,2.5870123486996055e-14
92,Cycle,1.9976687691905484,1.9976687691905393,4.5572263742277856e-15
92,Phase,1.9976687691905892,1.9976687691905393,2.5009169126859796e-14
93,Cycle,1.9998573625597116,1.99985736255971,7.772115469704214e-16
93,Phase,1.9998573625597789,1.99985736255971,3.441936850869009e-14
94,Cycle,1.99944156373026,1.9994415637302547,2.665279453458285e-15
94,Phase,1.9994415637303111,1.9994415637302547,2.8207540882433514e-14
95,Cycle,1.999863304992472,1.9998633049924688,1.5544184750977992e-15
95,Phase,1.9998633049925558,1.9998633049924688,4.352371730273838e-14
96,Cycle,2.0,2.0,0.0
96,Phase,1.99785892323867,1.9978589232386037,3.323124375817364e-14
97,Cycle,1.9998688836656344,1.9998688836656324,9.992662322253542e-16
97,Phase,1.9998688836657137,1.9998688836656324,4.06368267771644e-14
98,Cycle,1.9994862162006926,1.999486216200688,2.33206744094786e-15
98,Phase,1.9994862162007476,1.999486216200688,2.987267341023687e-14
99,Cycle,1.9998741276738767,1.999874127673875,8.882343217602373e-16
99,Phase,1.9998741276739649,1.999874127673875,4.496686253911201e-14
100,Cycle,1.9980267284282882,1.9980267284282718,8.223764242322142e-15
100,Phase,1.9980267284283668,1.9980267284282718,4.7564474266403746e-14
