n,basis,trace_sum,rate,ci_lower,ci_upper,trials
8,Cycle,0.264213562373095,0.8,0.7740810353518655,0.8236229095568015,1000
8,Cycle,0.2720867549777257,0.835,0.8107207516702334,0.8567153201444447,1000
8,Cycle,0.2799599475823564,0.861,0.8381734694242182,0.8810636109492109,1000
8,Cycle,0.28783314018698714,0.857,0.8339350119390162,0.8773326825022975,1000
8,Cycle,0.29570633279161784,0.874,0.8519904953398139,0.8931470893129909,1000
8,Cycle,0.3035795253962486,0.877,0.8551887673529645,0.8959258567489271,1000
8,Cycle,0.3114527180008793,0.901,0.8809263810632503,0.9180045586313347,1000
8,Cycle,0.31932591060551,0.909,0.88957441593046,0.9252952956283559,1000
8,Cycle,0.32719910321014073,0.941,0.9246390972285408,0.9539857017871995,1000
8,Cycle,0.33507229581477144,0.94,0.9235289252086434,0.953103527324068,1000
8,Cycle,0.34294548841940214,0.957,0.942580996155916,0.9679213465882865,1000
8,Cycle,0.3508186810240329,0.956,0.9414482108495923,0.9670617854115815,1000
8,Cycle,0.3586918736286636,0.964,0.9505643395327921,0.9738844285926127,1000
8,Cycle,0.3665650662332943,0.974,0.9621761711573101,0.9821960617983837,1000
8,Cycle,0.37443825883792503,0.97,0.9574965858524128,0.9789062611711653,1000
8,Cycle,0.38231145144255574,0.983,0.9729440411597701,0.9893593101431837,1000
8,Cycle,0.39018464404718645,0.992,0.9842936654690199,0.995940804181194,1000
8,Cycle,0.39805783665181715,0.99,0.9816905311296853,0.9945592455544707,1000
8,Cycle,0.40593102925644786,0.988,0.9791427315245017,0.9931223521935965,1000
8,Cycle,0.41380422186107857,0.995,0.9883490446266249,0.9978624644726756,1000
8,Cycle,0.4216774144657093,0.996,0.9897604437227377,0.9984434118595916,1000
8,Cycle,0.42955060707034,0.998,0.9927371921365079,0.9994513564118793,1000
8,Cycle,0.43742379967497075,0.999,0.9943574414020421,0.9998234536293739,1000
8,Cycle,0.44529699227960146,1.0,0.996173241514445,1.0,1000
8,Cycle,0.45317018488423216,1.0,0.996173241514445,1.0,1000
8,Cycle,0.46104337748886287,1.0,0.996173241514445,1.0,1000
8,Cycle,0.4689165700934936,1.0,0.996173241514445,1.0,1000
8,Cycle,0.47678976269812434,1.0,0.996173241514445,1.0,1000
8,Cycle,0.48466295530275505,1.0,0.996173241514445,1.0,1000
8,Cycle,0.49253614790738576,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5004093405120165,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5082825331166472,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5161557257212779,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5240289183259086,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5319021109305393,1.0,0.996173241514445,1.0,1000
8,Cycle,0.53977530353517,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5476484961398007,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5555216887444314,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5633948813490621,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5712680739536928,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5791412665583235,1.0,0.996173241514445,1.0,1000
8,Cycle,0.5870144591629542,1.0,0.996173241514445,1.0,1000
8,Cycle,0.594887651767585,1.0,0.996173241514445,1.0,1000
8,Cycle,0.6027608443722157,1.0,0.996173241514445,1.0,1000
8,Cycle,0.6106340369768465,1.0,0.996173241514445,1.0,1000
8,Cycle,0.6185072295814772,1.0,0.996173241514445,1.0,1000
8,Cycle,0.6263804221861079,1.0,0.996173241514445,1.0,1000
8,Cycle,0.6342536147907386,1.0,0.996173241514445,1.0,1000
8,Cycle,0.6421268073953693,1.0,0.996173241514445,1.0,1000
8,Cycle,0.65,1.0,0.996173241514445,1.0,1000
8,Phase,0.264213562373095,0.903,0.8830847944509657,0.9198308382096769,1000
8,Phase,0.2720867549777257,0.919,0.9004427979303052,0.9343503784587998,1000
8,Phase,0.2799599475823564,0.935,0.9179944906866292,0.948676229430938,1000
8,Phase,0.28783314018698714,0.944,0.927976651850269,0.9566251866145581,1000
8,Phase,0.29570633279161784,0.952,0.936933911349866,0.963606698979192,1000
8,Phase,0.3035795253962486,0.972,0.9598298168024069,0.9805577231872291,1000
8,Phase,0.3114527180008793,0.968,0.9551752619162314,0.9772428921412891,1000
8,Phase,0.31932591060551,0.985,0.9753990230730932,0.9908890211959184,1000
8,Phase,0.32719910321014073,0.978,0.9669143266526004,0.985427292235209,1000
8,Phase,0.33507229581477144,0.987,0.9778855576244203,0.9923871796106489,1000
8,Phase,0.34294548841940214,0.994,0.9869718317581478,0.9972473308581237,1000
8,Phase,0.3508186810240329,0.996,0.9897604437227377,0.9984434118595916,1000
8,Phase,0.3586918736286636,0.998,0.9927371921365079,0.9994513564118793,1000
8,Phase,0.3665650662332943,1.0,0.996173241514445,1.0,1000
8,Phase,0.37443825883792503,1.0,0.996173241514445,1.0,1000
8,Phase,0.38231145144255574,1.0,0.996173241514445,1.0,1000
8,Phase,0.39018464404718645,1.0,0.996173241514445,1.0,1000
8,Phase,0.39805783665181715,1.0,0.996173241514445,1.0,1000
8,Phase,0.40593102925644786,1.0,0.996173241514445,1.0,1000
8,Phase,0.41380422186107857,1.0,0.996173241514445,1.0,1000
8,Phase,0.4216774144657093,1.0,0.996173241514445,1.0,1000
8,Phase,0.42955060707034,1.0,0.996173241514445,1.0,1000
8,Phase,0.43742379967497075,1.0,0.996173241514445,1.0,1000
8,Phase,0.44529699227960146,1.0,0.996173241514445,1.0,1000
8,Phase,0.45317018488423216,1.0,0.996173241514445,1.0,1000
8,Phase,0.46104337748886287,1.0,0.996173241514445,1.0,1000
8,Phase,0.4689165700934936,1.0,0.996173241514445,1.0,1000
8,Phase,0.47678976269812434,1.0,0.996173241514445,1.0,1000
8,Phase,0.48466295530275505,1.0,0.996173241514445,1.0,1000
8,Phase,0.49253614790738576,1.0,0.996173241514445,1.0,1000
8,Phase,0.5004093405120165,1.0,0.996173241514445,1.0,1000
8,Phase,0.5082825331166472,1.0,0.996173241514445,1.0,1000
8,Phase,0.5161557257212779,1.0,0.996173241514445,1.0,1000
8,Phase,0.5240289183259086,1.0,0.996173241514445,1.0,1000
8,Phase,0.5319021109305393,1.0,0.996173241514445,1.0,1000
8,Phase,0.53977530353517,1.0,0.996173241514445,1.0,1000
8,Phase,0.5476484961398007,1.0,0.996173241514445,1.0,1000
8,Phase,0.5555216887444314,1.0,0.996173241514445,1.0,1000
8,Phase,0.5633948813490621,1.0,0.996173241514445,1.0,1000
8,Phase,0.5712680739536928,1.0,0.996173241514445,1.0,1000
8,Phase,0.5791412665583235,1.0,0.996173241514445,1.0,1000
8,Phase,0.5870144591629542,1.0,0.996173241514445,1.0,1000
8,Phase,0.594887651767585,1.0,0.996173241514445,1.0,1000
8,Phase,0.6027608443722157,1.0,0.996173241514445,1.0,1000
8,Phase,0.6106340369768465,1.0,0.996173241514445,1.0,1000
8,Phase,0.6185072295814772,1.0,0.996173241514445,1.0,1000
