t,min_entry,basis,n,t_star
-1.5,-0.1499198421397215,Cycle,12,-0.5358983848622454
-1.4935742971887551,-0.14892063174947553,Cycle,12,-0.5358983848622454
-1.48714859437751,-0.14792142135922948,Cycle,12,-0.5358983848622454
-1.4807228915662651,-0.1469222109689835,Cycle,12,-0.5358983848622454
-1.47429718875502,-0.14592300057873744,Cycle,12,-0.5358983848622454
-1.4678714859437751,-0.14492379018849144,Cycle,12,-0.5358983848622454
-1.46144578313253,-0.1439245797982454,Cycle,12,-0.5358983848622454
-1.4550200803212852,-0.1429253694079994,Cycle,12,-0.5358983848622454
-1.44859437751004,-0.14192615901775338,Cycle,12,-0.5358983848622454
-1.4421686746987952,-0.14092694862750738,Cycle,12,-0.5358983848622454
-1.4357429718875503,-0.13992773823726135,Cycle,12,-0.5358983848622454
-1.4293172690763052,-0.13892852784701532,Cycle,12,-0.5358983848622454
-1.4228915662650603,-0.1379293174567693,Cycle,12,-0.5358983848622454
-1.4164658634538152,-0.13693010706652328,Cycle,12,-0.5358983848622454
-1.4100401606425703,-0.13593089667627728,Cycle,12,-0.5358983848622454
-1.4036144578313252,-0.13493168628603125,Cycle,12,-0.5358983848622454
-1.3971887550200803,-0.13393247589578525,Cycle,12,-0.5358983848622454
-1.3907630522088352,-0.13293326550553922,Cycle,12,-0.5358983848622454
-1.3843373493975903,-0.13193405511529321,Cycle,12,-0.5358983848622454
-1.3779116465863455,-0.1309348447250472,Cycle,12,-0.5358983848622454
-1.3714859437751004,-0.12993563433480118,Cycle,12,-0.5358983848622454
-1.3650602409638555,-0.12893642394455512,Cycle,12,-0.5358983848622454
-1.3586345381526104,-0.12793721355430915,Cycle,12,-0.5358983848622454
-1.3522088353413655,-0.1269380031640631,Cycle,12,-0.5358983848622454
-1.3457831325301204,-0.12593879277381706,Cycle,12,-0.5358983848622454
-1.3393574297188755,-0.12493958238357107,Cycle,12,-0.5358983848622454
-1.3329317269076304,-0.12394037199332503,Cycle,12,-0.5358983848622454
-1.3265060240963855,-0.12294116160307902,Cycle,12,-0.5358983848622454
-1.3200803212851406,-0.12194195121283304,Cycle,12,-0.5358983848622454
-1.3136546184738955,-0.12094274082258699,Cycle,12,-0.5358983848622454
-1.3072289156626506,-0.119943530432341,Cycle,12,-0.5358983848622454
-1.3008032128514055,-0.11894432004209496,Cycle,12,-0.5358983848622454
-1.2943775100401607,-0.11794510965184897,Cycle,12,-0.5358983848622454
-1.2879518072289156,-0.11694589926160293,Cycle,12,-0.5358983848622454
-1.2815261044176707,-0.11594668887135688,Cycle,12,-0.5358983848622454
-1.2751004016064256,-0.11494747848111089,Cycle,12,-0.5358983848622454
-1.2686746987951807,-0.11394826809086485,Cycle,12,-0.5358983848622454
-1.2622489959839358,-0.11294905770061886,Cycle,12,-0.5358983848622454
-1.2558232931726907,-0.11194984731037282,Cycle,12,-0.5358983848622454
-1.2493975903614458,-0.11095063692012683,Cycle,12,-0.5358983848622454
-1.2429718875502007,-0.10995142652988078,Cycle,12,-0.5358983848622454
-1.2365461847389558,-0.10895221613963478,Cycle,12,-0.5358983848622454
-1.230120481927711,-0.10795300574938876,Cycle,12,-0.5358983848622454
-1.2236947791164658,-0.10695379535914275,Cycle,12,-0.5358983848622454
-1.2172690763052207,-0.10595458496889672,Cycle,12,-0.5358983848622454
-1.2108433734939759,-0.1049553745786507,Cycle,12,-0.5358983848622454
-1.204417670682731,-0.1039561641884047,Cycle,12,-0.5358983848622454
-1.1979919678714859,-0.10295695379815867,Cycle,12,-0.5358983848622454
-1.191566265060241,-0.10195774340791267,Cycle,12,-0.5358983848622454
-1.1851405622489959,-0.10095853301766662,Cycle,12,-0.5358983848622454
-1.178714859437751,-0.0999593226274206,Cycle,12,-0.5358983848622454
-1.1722891566265061,-0.09896011223717462,Cycle,12,-0.5358983848622454
-1.165863453815261,-0.09796090184692857,Cycle,12,-0.5358983848622454
-1.159437751004016,-0.09696169145668254,Cycle,12,-0.5358983848622454
-1.153012048192771,-0.09596248106643654,Cycle,12,-0.5358983848622454
-1.1465863453815262,-0.09496327067619052,Cycle,12,-0.5358983848622454
-1.140160642570281,-0.0939640602859445,Cycle,12,-0.5358983848622454
-1.1337349397590362,-0.09296484989569849,Cycle,12,-0.5358983848622454
-1.127309236947791,-0.09196563950545245,Cycle,12,-0.5358983848622454
-1.1208835341365462,-0.09096642911520646,Cycle,12,-0.5358983848622454
-1.1144578313253013,-0.08996721872496045,Cycle,12,-0.5358983848622454
-1.1080321285140562,-0.08896800833471442,Cycle,12,-0.5358983848622454
-1.1016064257028113,-0.08796879794446841,Cycle,12,-0.5358983848622454
-1.0951807228915662,-0.08696958755422236,Cycle,12,-0.5358983848622454
-1.0887550200803213,-0.08597037716397636,Cycle,12,-0.5358983848622454
-1.0823293172690762,-0.08497116677373033,Cycle,12,-0.5358983848622454
-1.0759036144578313,-0.08397195638348433,Cycle,12,-0.5358983848622454
-1.0694779116465862,-0.0829727459932383,Cycle,12,-0.5358983848622454
-1.0630522088353414,-0.08197353560299228,Cycle,12,-0.5358983848622454
-1.0566265060240965,-0.08097432521274628,Cycle,12,-0.5358983848622454
-1.0502008032128514,-0.07997511482250023,Cycle,12,-0.5358983848622454
-1.0437751004016065,-0.07897590443225425,Cycle,12,-0.5358983848622454
-1.0373493975903614,-0.0779766940420082,Cycle,12,-0.5358983848622454
-1.0309236947791165,-0.07697748365176221,Cycle,12,-0.5358983848622454
-1.0244979919678714,-0.07597827326151617,Cycle,12,-0.5358983848622454
-1.0180722891566265,-0.07497906287127015,Cycle,12,-0.5358983848622454
-1.0116465863453814,-0.07397985248102411,Cycle,12,-0.5358983848622454
-1.0052208835341365,-0.07298064209077812,Cycle,12,-0.5358983848622454
-0.9987951807228915,-0.0719814317005321,Cycle,12,-0.5358983848622454
-0.9923694779116465,-0.07098222131028609,Cycle,12,-0.5358983848622454
-0.9859437751004015,-0.06998301092004007,Cycle,12,-0.5358983848622454
-0.9795180722891565,-0.06898380052979405,Cycle,12,-0.5358983848622454
-0.9730923694779117,-0.06798459013954804,Cycle,12,-0.5358983848622454
-0.9666666666666667,-0.06698537974930202,Cycle,12,-0.5358983848622454
-0.9602409638554217,-0.065986169359056,Cycle,12,-0.5358983848622454
-0.9538152610441767,-0.06498695896880997,Cycle,12,-0.5358983848622454
-0.9473895582329317,-0.06398774857856396,Cycle,12,-0.5358983848622454
-0.9409638554216867,-0.06298853818831793,Cycle,12,-0.5358983848622454
-0.9345381526104417,-0.061989327798071904,Cycle,12,-0.5358983848622454
-0.9281124497991967,-0.06099011740782589,Cycle,12,-0.5358983848622454
-0.9216867469879518,-0.05999090701757989,Cycle,12,-0.5358983848622454
-0.9152610441767068,-0.058991696627333876,Cycle,12,-0.5358983848622454
-0.9088353413654618,-0.05799248623708786,Cycle,12,-0.5358983848622454
-0.9024096385542169,-0.05699327584684182,Cycle,12,-0.5358983848622454
-0.8959839357429719,-0.055994065456595805,Cycle,12,-0.5358983848622454
-0.8895582329317269,-0.05499485506634979,Cycle,12,-0.5358983848622454
-0.8831325301204819,-0.053995644676103766,Cycle,12,-0.5358983848622454
-0.8767068273092369,-0.05299643428585775,Cycle,12,-0.5358983848622454
-0.8702811244979919,-0.05199722389561173,Cycle,12,-0.5358983848622454
-0.863855421686747,-0.050998013505365716,Cycle,12,-0.5358983848622454
-0.857429718875502,-0.0499988031151197,Cycle,12,-0.5358983848622454
-0.851004016064257,-0.04899959272487368,Cycle,12,-0.5358983848622454
